image_id,caption
0,"The image features a comic-style panel depicting a scene from a story, with dialogue and narration above."
1,"Colorful postcard featuring ""Greetings from Cherry Grove Beach, S.C."" with images of beach scenes and vibrant lettering."
2,"Two vending machines display a variety of drinks, illuminated with colorful lights, in a train station setting."
3,"A man speaks at the eGovernment Conference 2013, with multiple logos displayed on computer monitors behind him."
4,"A close-up of several silver coins stacked together, showcasing their shiny surfaces and engraved designs."
5,"A woman speaking at a podium, surrounded by seated officials, with a building and event branding in the background."
6,"A black iPhone and a Samsung smartphone are displayed side by side on a wooden surface, showcasing their home screens."
7,"The image features a presentation event with a speaker at a microphone, a woman beside him, and a display of posters in the background."
8,"A bottle of Phillips Brewing Company's ""The Hammer"" Imperial Stout with a bold label and a dark beer in the background."
9,The image shows a refrigerator filled with various frozen meals and cans of soda.
10,"The image shows a car's digital dashboard displaying speed, cornering G-force, and steering information."
11,"A bottle of Château La Fleur Boireau 2006 red wine, showcasing a classic Bordeaux label with elegant design."
12,"The image shows a mobile hotspot device in its box, labeled with a power button and ""4G"" indicator."
13,"A small aircraft, identified as VH-XMV, is parked on the tarmac with a blue sky and white clouds above."
14,"A woman holds a Smirnoff Ice bottle, showcasing the label against a blurred background."
15,"Two men are using mixers with steam rising, beside a mixing bowl on a kitchen counter."
16,"The image features a colorful cover of ""Sailor Moon,"" showcasing various characters in vibrant outfits and celestial themes."
17,"Two parking meters stand side by side on a sidewalk, with a cup placed between them."
18,A black Intex mobile phone features a keypad and a display showing a cosmic image of Earth.
19,"The image features a painted airplane facade on a wall, labeled ""Bloomers Landing."" It showcases an artistic aviation theme."
20,"Illuminated poster for ""War Horse,"" promoting previews at the Vivian Beaumont Theater, featuring a close-up of a horse's eye."
21,"A large pile of discarded plastic bottles, including water and soda containers, cluttered together in a heap."
22,The image displays a computer monitor showing the Yahoo! Search homepage with a browser menu open.
23,A person uses a spoon to serve cooked rice from a white rice cooker in a kitchen setting.
24,"A glass filled with amber-colored liquid sits next to a bottle of Woodford Reserve whiskey, surrounded by other liquor bottles."
25,"The image features a coffeemaker with sticky notes attached, providing reminders and messages on its surface."
26,"Five male runners are competing in a street race, wearing colorful sports uniforms. The atmosphere is energetic and competitive."
27,"Two fighter jets perform aerial maneuvers above fluffy white clouds, showcasing sleek designs and military markings."
28,"Three glass bottles are lined up, labeled ""DYENE"" and ""NEGATIVE RETOUCHER,"" indicating a photo retouching product."
29,"A smiling man in a light blue shirt stands against a festival backdrop, featuring logos for Fantastic Fest and sponsors."
30,"A mobile phone displays a playlist titled ""ROCK 'N RUN"" with song titles and their respective BPMs."
31,"Poster for Austin Psych Fest featuring event details and a colorful circular design, highlighting performances from various bands."
32,"A group of baseball players celebrate on the field, wearing uniforms and a catcher embraces a teammate near home plate."
33,"A meeting in an office setting with two people discussing notes on a wall, in front of a company banner."
34,"Shopfront featuring the sign ""CLOUD CUCKOO LAND,"" with large windows and a stone building background."
35,"A group of six people, mostly women, stand at a book display, holding books and smiling for the camera."
36,"The image shows a book page titled ""Dinasti Krakatau,"" featuring a photograph of a volcanic landscape with smoke."
37,"The image features two anime posters: one depicts characters sitting on stairs, while the other presents a minimalist design with a figure on an orange background."
38,"A transparent perfume bottle with an intricate design, featuring a golden spray nozzle and the label ""Guess by Marienne."""
39,"A stack of literature featuring lifestyle and design themes, resting on a wooden table with a dark placemat."
40,"A boy in an orange sports uniform stands in a convenience store aisle, surrounded by snacks and drinks."
41,"Students work on laptops at Siripatum University, focusing on their screens in a collaborative environment."
42,"A group of six men stands together, all wearing matching white shirts with red designs, in front of a promotional backdrop."
43,"A newsstand featuring various newspapers on display with a Lufthansa logo above, inviting passengers to take a copy."
44,"Cheerleaders perform in vibrant sports uniforms, featuring orange and blue tops with skirts, showcasing energetic movements."
45,"A glass of Westmalle beer sits next to a bottle, with a small dish of snacks on a wooden table."
46,"A woman sells various sweets at a market, while a child observes nearby. The display includes chocolates and candies."
47,"Colorful poster advertising Standard Fireworks for 1996, featuring fireworks, a figure in traditional attire, and iconic London landmarks."
48,"The image features a bottle of Coco Mademoiselle perfume by Chanel, with a pink liquid and elegant packaging."
49,A large television displays a video conference with multiple participants in a meeting room.
50,"The image features a festive bag labeled ""Happy Holidays,"" filled with various food items, including snacks and canned goods."
51,"Two yellow taxis are parked along a tree-lined street, with a ""For Lease"" sign visible on a building."
52,"A TV screen displays a channel guide with scheduled programs, including various shows and times for April 12."
53,"A dark glass beer bottle labeled ""Limfjords Porter,"" featuring ""Double Brown Stout"" and a unique design."
54,"Two computer monitors display Synology software, next to a data storage unit at a conference setup."
55,"A sleek Rolex watch with a black face and stainless steel bracelet, displayed on a stand."
56,The image shows a directional sign with holiday-themed messages and no-entry signs featuring a Christmas tree and prohibition symbol.
57,"Colorful billboard for ""Wraps & Baps,"" showcasing breakfast options like wraps, salads, veggie burgers, and meatballs."
58,"Two men engage in conversation, both wearing sports clothing, in a gymnasium setting."
59,"A red passport titled ""Government of Qatar"" with text in both Arabic and English."
60,"Four hardcover books by J.R.R. Tolkien are neatly arranged on a wooden surface. Titles include ""The Hobbit,"" ""The Lord of the Rings,"" and others."
61,"A close-up of a tin can labeled ""Cynic"" from Surly Brewing Co., resting on a coaster."
62,"A group of men in sports uniforms poses together at a softball tournament, showcasing team spirit and camaraderie."
63,"The image displays a screen showcasing the SLinto dictionary, highlighting patent information and search results in multiple languages."
64,"The image features a Bank of America ATM, with a clear sign and accessibility symbol."
65,"Two books titled ""Graphic Design: A New History"" by Stephen J. Eskilson, displayed spine out on a shelf."
66,"A container of Fage yogurt with honey drizzling into it, showcasing a creamy dairy dessert."
67,A soldier in military attire stands beside a directional road sign indicating distances to Khafji (40 km) and Kuwait (172 km).
68,"A close-up of a MacBook Air laptop, showcasing its logo on the front and part of the keyboard below."
69,"The image features a box labeled ""STAX SRS-2050,"" containing an electrostatic ear speaker system, with headphones illustrated."
70,A blender with a mixture inside is positioned on a countertop beside a stovetop and a flat cooking surface.
71,"Three spirit bottles are displayed: Absolut Vodka, Bombay Dry Gin, and another clear bottle. The reflective surface enhances their visual appeal."
72,"Black chronograph watch featuring three sub-dials, date display, and dual pushers for timer functions. Date indicates 27 February 2015."
73,"Five bottles of Cornish IPA are displayed on a shelf, priced at £8.79."
74,"Convenience store with colorful exterior, featuring signs for tobacco, souvenirs, and lottery. Displays newspapers and various goods."
75,"Two Beck's beer bottles are displayed: one labeled Pale Ale and the other Amber Lager, both from Bremen, Germany."
76,"A red telephone box stands outside, featuring a sign that reads ""ED + ELS LUNCH"" on its glass door."
77,"Radio City Music Hall is brightly lit with a large Christmas tree display in front, alongside yellow taxis in the streets."
78,"A table displays various wine bottles, each tagged with information, accompanied by candles and floral arrangements."
79,"A sleek, black and white aircraft is taxiing on the runway, surrounded by green trees and a clear sky."
80,"A sleek silver watch with a black leather strap, featuring a minimalist dial and chronograph functions."
81,"Collection of historic newspaper front pages documenting the September 11 attacks, showcasing various headlines and images from multiple publications."
